Job_Titles,Company_Names,Salary,Job_Location,Job_Link,Joblist_Date
Junior Data Analyst,IntouchCX,"₹1,500,000 - ₹1,700,000","Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/junior-data-analyst-at-intouchcx-3729292176?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=bt1yl3IhdjNLheazgiPwfA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago
Senior Data Analyst,Epsilon India,"₹1,200,000 - ₹2,000,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-epsilon-india-3748750884?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=uuj07U6hyD4DDk7UgcSVbQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago
SENIOR DATA ANALYST,Walmart Global Tech India,"₹15,000 - ₹20,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-walmart-global-tech-india-3710957222?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=e1iLu7kJQ6tf4EHfrN0f7g%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago
Data Analyst – Supply Chain- Power BI,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant","₹600,000 - ₹1,000,000",Pune/Pimpri-Chinchwad Area,https://in.linkedin.com/jobs/view/data-analyst-%E2%80%93-supply-chain-power-bi-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3734512087?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=Wt0fSdVlfmOivKOknaMTPw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago
Lead Data Analyst/PowerBI,tsworks,"₹700,000 - ₹1,000,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-data-analyst-powerbi-at-tsworks-3725204937?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=69mk%2BLmtFU4m2CQGm7u9nQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago
Senior Manager - Business Analytics and Intelligence (Strategy and Operations),Iris Software Inc.,"₹100,000 - ₹800,000","Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/senior-manager-business-analytics-and-intelligence-strategy-and-operations-at-iris-software-inc-3694017151?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=2Ft6y0MJxtQUQ9Yi076vcQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Senior Analyst- BI [T500-9471],Delta Air Lines,"₹100,000 - ₹140,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-analyst-bi-t500-9471-at-delta-air-lines-3756258515?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=PDudCFFHPzjTEt8zKF%2BjRg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,1 day ago
Data Analyst,IntouchCX,"₹50,000 - ₹100,000","Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-intouchcx-3735369683?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=N10aG%2FwUHE6nTvgtUPQE%2BQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago
Analytics Manager,Games2win India Pvt Ltd,"₹300,000 - ₹1,800,000","Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/analytics-manager-at-games2win-india-pvt-ltd-3737078436?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=9Y74hjRwQjOftmJiberj9w%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago
DATA ANALYST,Muthoot Finance Ltd.,"₹2,400,000 - ₹2,800,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/google-analytics-specialist-at-radius-3730241211?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=hRhRYhZtAjnWfLE6up9l2w%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,2 months ago
